1,2,3,4,5-left,5-right,6,7,A-left,A-right,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,L
R101,R645,R634,R626,R645,R645,A069,R550,N187,N196,B029,N128,G009,,,,,,,,,,,,,,,,,,,,,,,,,H041
R103,R643,R633,R622,R643,R643,A043,N060,N186,N195,B027,N127,,,,,,,,,,,,,,,,,,,,,,,,,,H040
R106,R641,R632,R610,R641,R641,R215,R238,N185,N194,B024,N126,,,,,,,,,,,,,,,,,,,,,,,,,,H039
R116,R639,R630,R608,R639,R639,R217,R504,N184,N193,B019,N125,,,,,,,,,,,,,,,,,,,,,,,,,,H038
R117,R637,R629,R602,R637,R637,R219,R507,N183,N192,B016,N124,,,,,,,,,,,,,,,,,,,,,,,,,,H037
R119,R636,R628,R201,R636,R636,A034,N307,N182,N191,B013,N122,,,,,,,,,,,,,,,,,,,,,,,,,,H035
R123,R635,R627,R203,R635,R635,R226,R509,N181,N183,B004,N121B,,,,,,,,,,,,,,,,,,,,,,,,,,H033
R125,R622,R626,N095,R622,R622,R228,R516,N181A,N182,R610,N120,,,,,,,,,,,,,,,,,,,,,,,,,,H032
N512,R621,R624,A069,R610,R610,R231,R518,N134,N181,C008,N119,,,,,,,,,,,,,,,,,,,,,,,,,,H028
R129,R619,R623,A034,R608,R608,R238,R519,N133,N181A,N520,N116,,,,,,,,,,,,,,,,,,,,,,,,,,H023
R131,R617,R622,R238,R602,R602,N305,R521,N131,N134,R217,N114,,,,,,,,,,,,,,,,,,,,,,,,,,H022
R133,R610,R621,A002,R201,R201,A002,R523,N129,N133,N080,N111,,,,,,,,,,,,,,,,,,,,,,,,,,H019
R135,R608,R619,R249,R203,R203,R246,R524,N128,N131,A022,N110,,,,,,,,,,,,,,,,,,,,,,,,,,H017
N060,R606,R617,R258,N095,N095,R247,R525,N124,N129,N060,N108,,,,,,,,,,,,,,,,,,,,,,,,,,H015
R154,R602,R610,R259,A069,A069,R249,R526,N120,N128,N500,N103,,,,,,,,,,,,,,,,,,,,,,,,,,H013
N049,R600,R608,R261,A034,A034,R251,R527,N116,N124,N301,N100,,,,,,,,,,,,,,,,,,,,,,,,,,H009
R160,R111,R606,N203,R238,R238,R252,R528,N108,N120,N049,N095,,,,,,,,,,,,,,,,,,,,,,,,,,H007
R161B,N095,R602,R283,A002,A002,R254,R529,N103,N116,N046,N094,,,,,,,,,,,,,,,,,,,,,,,,,,H006
R162,N094,R600,R284,R249,R249,R256,R530,N100,N108,N044,N089,,,,,,,,,,,,,,,,,,,,,,,,,,
R164,R116,R111,R285,R258,R258,R258,R532,N095,N103,N043,N086,,,,,,,,,,,,,,,,,,,,,,,,,,
R168,N512,N095,R286,R259,R259,R401,R533,N094,N100,N040,N080,,,,,,,,,,,,,,,,,,,,,,,,,,
R170,R135,N094,R287,R261,R261,R402,,N089,N095,N037,N078,,,,,,,,,,,,,,,,,,,,,,,,,,
R172,N060,R116,R288,R310,R310,R404,,N080,N094,N035,N076,,,,,,,,,,,,,,,,,,,,,,,,,,
R173,R161B,N512,R289,R312,R312,R406,,N078,N089,N030,N070,,,,,,,,,,,,,,,,,,,,,,,,,,
R174,R168,R135,R290,R314,R314,R408,,N070,N080,N026,N060,,,,,,,,,,,,,,,,,,,,,,,,,,
R176,R301,N060,R291,R316,R316,R410,,N060,N078,N024,N056,,,,,,,,,,,,,,,,,,,,,,,,,,
R178,R302,R161B,R293,R318,R318,R412,,N049,N070,N019,N049,,,,,,,,,,,,,,,,,,,,,,,,,,
R180,R304,R168,R294,R320,R320,R413,,N026,N060,N202,N046,,,,,,,,,,,,,,,,,,,,,,,,,,
R182,R306,R301,,R322,R322,R414,,N019,N049,N023,N044,,,,,,,,,,,,,,,,,,,,,,,,,,
R183,R261,R302,,R323,R323,R415,,N182,N026,N207,N043,,,,,,,,,,,,,,,,,,,,,,,,,,
R185,R310,R304,,R325,R325,R416,,N010,N019,N209,N040,,,,,,,,,,,,,,,,,,,,,,,,,,
R186,R312,R306,,R326,R326,R417,,N007A,N182,N210,N037,,,,,,,,,,,,,,,,,,,,,,,,,,
R188,R314,R308,,R328,R726,R418,,N006A,N010,N213,N035,,,,,,,,,,,,,,,,,,,,,,,,,,
R190,R316,R309,,R329,R727,R419,,N003,N007A,N215,N030,,,,,,,,,,,,,,,,,,,,,,,,,,
R192,R318,,,R330,R728,R420,,N002A,N006A,N217,N026,,,,,,,,,,,,,,,,,,,,,,,,,,
R194,R320,,,R331,R729,R421,,,N003,N221,N024,,,,,,,,,,,,,,,,,,,,,,,,,,
R196,R322,,,R332,R730,R422,,,N002A,N222,N019,,,,,,,,,,,,,,,,,,,,,,,,,,
R197,R323,,,R333,,R423,,,,,N017,,,,,,,,,,,,,,,,,,,,,,,,,,
,R325,,,R334,,,,,,,N016A,,,,,,,,,,,,,,,,,,,,,,,,,,
,R326,,,R335,,,,,,,R182,,,,,,,,,,,,,,,,,,,,,,,,,,
,R328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
